Matric Number,Full Name,gender,date of birth,Faculty,department,programme,mode of entry,utme number,remark,dept_id,prog_id
242559,Ayodele Oluwole Peter,MALE,1987-05-12,Education,Counselling and Human Development Studies,Counselling and Human Development Studies,UTME,MYG79jOTu1AQ,graduated,33,
243100,Mary Olatunji Oluwabunmi,FEMALE,1987-05-13,Public Health,Environmental Health Science,Environmental Health Science,DE,3GWK4yIPJtAw,terminated,39,
241754,Chukwuemeka Ajakaye Adebola,MALE,1987-05-14,Basic Medical Sciences,Physiology,Physiology,UTME,9cyqVFXwbdO0,graduated,24,
241230,Jesutimilehin Odufeso John,MALE,1987-05-15,Arts,Communication and Language Arts,Communication and Language Arts,DE,0xX0kaIHn6xt,terminated,12,
244397,Oluwasemilore Lewis-Ogwu Isuraarajesu,MALE,1987-05-16,The Social Sciences,Sociology,Sociology,UTME,K5T2eg9FnU7i,graduated,67,
241968,Agnes Woods Kathryn,FEMALE,1987-05-17,Clinical Sciences,Medicine and Surgery,Medicine and Surgery,DE,hi0ZcNbIHLuw,terminated,27,
244317,Eseoghene Obanor Divine,FEMALE,1987-05-18,The Social Sciences,Psychology,Psychology,UTME,URTV3Vb2AiH3,graduated,66,
242375,Tolulope Lindsay Sophia,FEMALE,1987-05-19,Education,Arts and Social Sciences Education,Arts and Social Sciences Education,DE,p02k9lM76YY8,terminated,71,
242641,Anuoluwa Folorunso Eunice,FEMALE,1987-05-20,Education,"Library, Archival and Information Studies","Library, Archival and Information Studies",UTME,VJjHYzJt1tvv,graduated,35,
242949,Aaliyah Salako Temileleyi,FEMALE,1987-05-21,Law,Law,L.L.B. LAW,DE,oz0oQif8Cidr,terminated,37,
241871,Tamunobelema Brown Eniifeoluwa,FEMALE,1987-05-22,Clinical Sciences,Medicine and Surgery,Medicine and Surgery,UTME,LrkmjexJA38S,graduated,27,
242863,Esther Bask-Aiyedun Folashade,FEMALE,1987-05-23,Law,Law,L.L.B. LAW,DE,7GslvP49GecU,terminated,37,
