Matric Number,Full Name,gender,date of birth,Faculty,department,programme,mode of entry,utme number,remark,dept_id,prog_id
242559,Ayodele Oluwole Peter,MALE,1987-05-12,Education,Counselling and Human Development Studies,B.ED. (Counselling and Human Development Studies),UTME,MYG79jOTu1AQ,graduated,33,55
243100,Mary Olatunji Oluwabunmi,FEMALE,1987-05-13,Public Health,Environmental Health Science,B.EHS,DE,3GWK4yIPJtAw,terminated,39,73
241754,Chukwuemeka Ajakaye Adebola,MALE,1987-05-14,Basic Medical Sciences,Physiology,B.SC. (PHYSIOLOGY),UTME,9cyqVFXwbdO0,graduated,24,31
241230,Jesutimilehin Odufeso John,MALE,1987-05-15,Arts,Communication and Language Arts,B.A. (COMM. & LANG. ARTS),DE,0xX0kaIHn6xt,terminated,12,15
244397,Oluwasemilore Lewis-Ogwu Isuraarajesu,MALE,1987-05-16,The Social Sciences,Sociology,B.SC. (SOCIOLOGY),UTME,K5T2eg9FnU7i,graduated,67,103
241968,Agnes Woods Kathryn,FEMALE,1987-05-17,Clinical Sciences,Medicine and Surgery,M.B.B.S (Clinicals),DE,hi0ZcNbIHLuw,terminated,27,32
244317,Eseoghene Obanor Divine,FEMALE,1987-05-18,The Social Sciences,Psychology,B.SC. (PSYCHOLOGY),UTME,URTV3Vb2AiH3,graduated,66,102
242375,Tolulope Lindsay Sophia,FEMALE,1987-05-19,Education,Arts and Social Sciences Education,B.ED (Geography),DE,p02k9lM76YY8,terminated,71,48
242641,Anuoluwa Folorunso Eunice,FEMALE,1987-05-20,Education,"Library, Archival and Information Studies",BLIS (Bachelor of Library and Information Studies),UTME,VJjHYzJt1tvv,graduated,35,58
242949,Aaliyah Salako Temileleyi,FEMALE,1987-05-21,Law,Law,L.L.B. LAW,DE,oz0oQif8Cidr,terminated,37,71
241871,Tamunobelema Brown Eniifeoluwa,FEMALE,1987-05-22,Clinical Sciences,Medicine and Surgery,M.B.B.S (Clinicals),UTME,LrkmjexJA38S,graduated,27,32
242863,Esther Bask-Aiyedun Folashade,FEMALE,1987-05-23,Law,Law,L.L.B. LAW,DE,7GslvP49GecU,terminated,37,71
242319,Temiloluwa Akinola Stella,FEMALE,1987-05-24,Education,Arts and Social Sciences Education,B.ED (Geography),UTME,XCaE6POKcPkC,graduated,71,48
242954,Oluchukwu Ukoha Grace,FEMALE,1987-05-25,Law,Law,L.L.B. LAW,DE,vdiWGtL3sM5P,terminated,37,71
242444,ENIOLA AKINOLA OREOLUWA,FEMALE,1987-05-26,Education,Early Childhood and Educational Foundations,B.ED(Early Childhood Education),UTME,ko0zc8mu6lLf,graduated,73,53
241902,Shalom Michael Oseiwe,MALE,1987-05-27,Clinical Sciences,Medicine and Surgery,M.B.B.S (Clinicals),DE,hS5gmtQeQ1oT,terminated,27,32
241680,Michael Lawson Aduragbemi,MALE,1987-05-28,Basic Medical Sciences,Biochemistry,B.SC. (BIOCHEMISTRY),UTME,EEAT8I5anRt7,graduated,23,29
242156,Oluwaseun Akano Opeyemi,FEMALE,1987-05-29,Economics and Management Sciences,Economics,B.SC. (ECONOMICS),DE,KJvziSbE008P,terminated,29,40
242020,Emiola Adeosun Deborah,FEMALE,1987-05-30,Clinical Sciences,Physiotherapy,B.Physiotherapy Clinicals,UTME,9FBOQRxBDymC,graduated,26,36
242032,Peace Ani Chimdiomimi,FEMALE,1987-05-31,Clinical Sciences,Physiotherapy,B.Physiotherapy Clinicals,DE,GCtPyLIAdlZl,terminated,26,36
243305,Deborah Oluwadahunsola Ayanfeoluwa,FEMALE,1987-06-01,Science,Botany,B.SC. (BOTANY),UTME,b3ILXIlrocEb,graduated,47,81
243364,Kelvin Ekairia Israel,MALE,1987-06-02,Science,Chemistry,B.SC. (CHEMISTRY),DE,PSj0zbxooihY,terminated,48,82
241567,Mariam Omololu Eniola,FEMALE,1987-06-03,Arts,Philosophy,B.A. (PHILOSOPHY),UTME,3IdqwRpezLHj,graduated,18,26
242628,Goodness Afolabi Oluwanifemi,FEMALE,1987-06-04,Education,"Library, Archival and Information Studies",BLIS (Bachelor of Library and Information Studies),DE,e3MDlJiYMu5e,terminated,35,58
244504,Esther Onifade Fikayo,FEMALE,1987-06-05,Veterinary Medicine,Veterinary Medicine,DVM (VETERINARY MEDICINE),UTME,S1BsEsgm62FU,graduated,68,104
244471,Kehinde Ifanayajo Esther,FEMALE,1987-06-06,Veterinary Medicine,Veterinary Medicine,DVM (VETERINARY MEDICINE),DE,V1g9BJcHi3ll,terminated,68,104
242861,Emmanuel Bamigbade Oluwaferanmi,MALE,1987-06-07,Law,Law,L.L.B. LAW,UTME,pKyORMJ12wz0,graduated,37,71
241894,Caleb Irabor Chijioke,MALE,1987-06-08,Clinical Sciences,Medicine and Surgery,M.B.B.S (Clinicals),DE,heiGNtaD4HZR,terminated,27,32
243924,Abdulsalam Shoaga Pelumi,MALE,1987-06-09,Technology,Civil Engineering,B.SC. (CIVIL ENGINEERING),UTME,shGZKCghAWIi,graduated,58,93
242950,Oluwatobiloba Samson Sharon,FEMALE,1987-06-10,Law,Law,L.L.B. LAW,DE,2u9vWlN0ABQI,terminated,37,71
243578,Oluwatobiloba Hambolu David,MALE,1987-06-11,Science,Mathematics,B.SC. (MATHEMATICS),UTME,AfcA2cbV2h1R,graduated,52,87
243551,Oluwatobiloba Adeniran Dominion,MALE,1987-06-12,Science,Mathematics,B.SC. (MATHEMATICS),DE,BgPUYGUmqJLx,terminated,52,87
241900,Tijesunimi Majolagbe Elijah,MALE,1987-06-13,Clinical Sciences,Medicine and Surgery,M.B.B.S (Clinicals),UTME,FcU3zZN5OI7B,graduated,27,32
243544,Abdulquadri Abdulkareem Amaoo,MALE,1987-06-14,Science,Mathematics,B.SC. (MATHEMATICS),DE,yTWb8OpBZGpA,terminated,52,87
244437,Oluwadarasimi Adeoti Adeoluwa,MALE,1987-06-15,Veterinary Medicine,Veterinary Medicine,DVM (VETERINARY MEDICINE),UTME,rp0N2pYG41rH,graduated,68,104
242769,Oluwademilade Ogundipe Molaju,MALE,1987-06-16,Environmental Design and Management,Architecture,B.Sc. (Architecture ),DE,Za334f1qc1FD,terminated,76,68
241088,Oluwafunmibi Adewale Adeolu,MALE,1987-06-17,Arts,Archaeology and Anthropology (Arts),Archaeology and Anthropology (Arts),UTME,qmfOWj2TMcXI,graduated,79,
242563,Oyindamola Oshitelu Ejironike,FEMALE,1987-06-18,Education,Counselling and Human Development Studies,B.ED. (Counselling and Human Development Studies),DE,t9AuP3VZEhxM,terminated,33,55
242723,Fatimah Akinade Modasola,FEMALE,1987-06-19,Education,Special Education,B.ED. (SPECIAL EDUCATION),UTME,m0FzjnY51fSq,graduated,36,63
243458,CHRISTINE INOK BASSEY,FEMALE,1987-06-20,Science,Computer Science,B.SC. (COMPUTER SCIENCE),DE,Z14v3uJJevJY,suspended,49,84
243804,Jesutofunmi Aina Gideon,MALE,1987-06-21,Technology,Agricultural and Environmental Engineering,B.SC. (AGRIC. ENGINEERING),UTME,OL1oWw6aiSKh,graduated,57,92
243960,Jafar Ibrahim Olamiposi,MALE,1987-06-22,Technology,Electrical and Electronics Engineering,B.SC. (ELECT/ELECT ENGINEERING),DE,RfAhqiwYN1LU,terminated,59,94
242162,Emmanuel Bolatito Ekeminiabasi,MALE,1987-06-23,Economics and Management Sciences,Economics,B.SC. (ECONOMICS),UTME,KK39hcTOkfG8,graduated,29,40
241762,Oluwatobi Aro Faruq,MALE,1987-06-24,Basic Medical Sciences,Physiology,B.SC. (PHYSIOLOGY),DE,MDszpkKqnkPL,terminated,24,31
243953,Ebenezer Bepule Naab,MALE,1987-06-25,Technology,Electrical and Electronics Engineering,B.SC. (ELECT/ELECT ENGINEERING),UTME,1wovGMYvHCmQ,graduated,59,94
244507,Adenike Oshin Princess,FEMALE,1987-06-26,Veterinary Medicine,Veterinary Medicine,DVM (VETERINARY MEDICINE),DE,JGwMl7s2vuqZ,terminated,68,104
242629,Splendor Ajamah Omodafe,MALE,1987-06-27,Education,"Library, Archival and Information Studies",BLIS (Bachelor of Library and Information Studies),UTME,l4O0dLinc1Op,graduated,35,58
243587,Prince Nwachinemere Chimeremeze,MALE,1987-06-28,Science,Mathematics,B.SC. (MATHEMATICS),DE,JAbQPsx26i9g,terminated,52,87
